OnActionExecuting, controller: User, action method: GetById, date:19-03-2022 19:14:51
OnActionExecuting, controller: User, action method: Authenticate, date:19-03-2022 19:34:11
OnActionExecuted, controller: User, action method: Authenticate, date:19-03-2022 19:35:17
OnResultExecuting, controller: User, action method: Authenticate, date:19-03-2022 19:35:17
OnResultExecuted, controller: User, action method: Authenticate, date:19-03-2022 19:35:18
OnActionExecuting, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnActionExecuted, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnResultExecuting, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnResultExecuted, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnActionExecuting, controller: User, action method: Update, date:19-03-2022 19:35:36
OnActionExecuted, controller: User, action method: Update, date:19-03-2022 19:35:36
OnResultExecuting, controller: User, action method: Update, date:19-03-2022 19:35:36
OnResultExecuted, controller: User, action method: Update, date:19-03-2022 19:35:36
OnActionExecuting, controller: User, action method: Delete, date:19-03-2022 19:35:36
OnActionExecuted, controller: User, action method: Delete, date:19-03-2022 19:35:36
OnResultExecuting, controller: User, action method: Delete, date:19-03-2022 19:35:36
OnResultExecuted, controller: User, action method: Delete, date:19-03-2022 19:35:36
OnActionExecuting, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnActionExecuted, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnResultExecuting, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnResultExecuted, controller: User, action method: GetById, date:19-03-2022 19:35:36
OnActionExecuting, controller: User, action method: Update, date:19-03-2022 19:35:36
OnActionExecuted, controller: User, action method: Update, date:19-03-2022 19:35:36
OnResultExecuting, controller: User, action method: Update, date:19-03-2022 19:35:36
OnResultExecuted, controller: User, action method: Update, date:19-03-2022 19:35:36
OnActionExecuting, controller: User, action method: Delete, date:19-03-2022 19:35:36
OnActionExecuted, controller: User, action method: Delete, date:19-03-2022 19:35:36
OnResultExecuting, controller: User, action method: Delete, date:19-03-2022 19:35:36
OnResultExecuted, controller: User, action method: Delete, date:19-03-2022 19:35:36
